Area,Item,Year,Area harvested (ha),Production (tonnes),Calories (100gr),Protein,Carbohydrates,Fats,Fiber,Vitamin A,Vitamin K,Vtamin C,Vitamin B-3,Vitamin B-9,Calcium,Iron,Potasium,Magnesium,phosphorus,Sodium,Zinc,Selenium,Manganese,Annual Consumption Percapita,Daily Consuption Percapita
Mexico,Raspberries,2019,7028,128848,,,,,,,,,,,,,,,,,,,,,
Mexico,"Rice, paddy",2019,38518,245217,,,,,,,,,,,,,,,,,,,,,
Mexico,Roots and tubers nes,2019,7823,219004,,,,,,,,,,,,,,,,,,,,,
Mexico,"Rubber, natural",2019,27242,79979,,,,,,,,,,,,,,,,,,,,,
Mexico,Rye,2019,8,14,,,,,,,,,,,,,,,,,,,,,
Mexico,Safflower seed,2019,27828,51655,,,,,,,,,,,,,,,,,,,,,
Mexico,Seed cotton,2019,207246,916984,,,,,,,,,,,,,,,,,,,,,
Mexico,Sesame seed,2019,81873,57811,,,,,,,,,,,,,,,,,,,,,
Mexico,Sisal,2019,8691,12387,,,,,,,,,,,,,,,,,,,,,
Mexico,Sorghum,2019,1324783,4352947,329,10.62,72.1,3.46,6.7,,,,3.7,20,13,3.36,363,165,289,2,1.67,12.2,1.6,,0
Mexico,Soybeans,2019,145994,232680,,,,,,,,,,,,,,,,,,,,,
Mexico,Spices nes,2019,661,4587,,,,,,,,,,,,,,,,,,,,,
Mexico,Spinach,2019,2447,38736,,,,,,,,,,,,,,,,,,,,,
Mexico,Strawberries,2019,16429,861337,,,,,,,,,,,,,,,,,,,,,
Mexico,String beans,2019,12931,131620,,,,,,,,,,,,,,,,,,,,,
Mexico,Sugar beet,2019,333,891,,,,,,,,,,,,,,,,,,,,,
Mexico,Sugar cane,2019,795984,59334059,380,0,98.1,0,0,,,,,1,83,,133,9,4,28,1.2,1.2,,,0
Mexico,Sunflower seed,2019,2779,4913,,,,,,,,,,,,,,,,,,,,,
Mexico,Sweet potatoes,2019,3104,59358,,,,,,,,,,,,,,,,,,,,,
Mexico,"Tangerines, mandarins, clementines, satsumas",2019,34294,486411,,,,,,,,,,,,,,,,,,,,,
Mexico,"Tobacco, unmanufactured",2019,6817,16952,,,,,,,,,,,,,,,,,,,,,
